,ACC_x,ACC_y,ACC_z,GYR_x,GYR_y,GYR_z,Q_0,Q_1,Q_2,Q_3,Pitch,Yaw,ACC_x,ACC_y,ACC_z,GYR_x,GYR_y,GYR_z,Q_0,Q_1,Q_2,Q_3,Pitch,Yaw,ACC_x,ACC_y,ACC_z,GYR_x,GYR_y,GYR_z,Q_0,Q_1,Q_2,Q_3,Pitch,Yaw
10,0.978027,0.048340,0.253906,3.906250,4.028320,0.122070,-0.184967,-0.602356,0.115570,-0.767822,-75.437622,144.854736,1.002930,-0.066895,-0.162598,-0.183105,0.000000,-0.122070,0.073914,-0.759277,-0.034180,-0.645599,-80.227661,-14.875488,0.992188,0.126465,0.032227,-0.122070,-0.732422,0.427246,-0.216370,0.631622,0.295166,0.683411,-82.348022,144.585571
20,0.978027,0.048340,0.253906,3.906250,4.028320,0.122070,-0.184448,-0.601715,0.114563,-0.768585,-75.316772,144.953613,1.005859,-0.069336,-0.165527,0.427246,0.305176,-0.366211,0.073883,-0.759277,-0.034180,-0.645630,-80.233154,-14.864502,1.000977,0.131348,0.027832,0.549316,0.000000,-0.366211,-0.216339,0.631592,0.295288,0.683411,-82.342529,144.558105
30,0.978027,0.048340,0.253906,3.906250,4.028320,0.122070,-0.184448,-0.601715,0.114563,-0.768585,-75.316772,144.953613,1.005859,-0.069336,-0.165527,0.427246,0.305176,-0.366211,0.073883,-0.759277,-0.034180,-0.645630,-80.233154,-14.864502,1.000977,0.131348,0.027832,0.549316,0.000000,-0.366211,-0.216339,0.631592,0.295288,0.683411,-82.342529,144.558105
40,0.978027,0.048340,0.253906,3.906250,4.028320,0.122070,-0.184448,-0.601715,0.114563,-0.768585,-75.316772,144.953613,1.005859,-0.069336,-0.165527,0.427246,0.305176,-0.366211,0.073883,-0.759277,-0.034180,-0.645630,-80.233154,-14.864502,1.000977,0.131348,0.027832,0.549316,0.000000,-0.366211,-0.216339,0.631592,0.295288,0.683411,-82.342529,144.558105
50,0.977539,0.051270,0.253906,3.601074,3.295898,-0.183105,-0.183838,-0.601135,0.113403,-0.769348,-75.195923,145.025024,1.011230,-0.070312,-0.163086,0.122070,-0.122070,-0.488281,0.073914,-0.759247,-0.034363,-0.645630,-80.238647,-14.782104,0.993652,0.130371,0.029785,0.000000,0.000000,-0.305176,-0.216248,0.631531,0.295349,0.683472,-82.326050,144.541626
60,0.977539,0.051270,0.253906,3.601074,3.295898,-0.183105,-0.183838,-0.601135,0.113403,-0.769348,-75.195923,145.025024,1.011230,-0.070312,-0.163086,0.122070,-0.122070,-0.488281,0.073914,-0.759247,-0.034363,-0.645630,-80.238647,-14.782104,0.993652,0.130371,0.029785,0.000000,0.000000,-0.305176,-0.216248,0.631531,0.295349,0.683472,-82.326050,144.541626
70,0.977539,0.051270,0.253906,3.601074,3.295898,-0.183105,-0.183838,-0.601135,0.113403,-0.769348,-75.195923,145.025024,1.011230,-0.070312,-0.163086,0.122070,-0.122070,-0.488281,0.073914,-0.759247,-0.034363,-0.645630,-80.238647,-14.782104,0.993652,0.130371,0.029785,0.000000,0.000000,-0.305176,-0.216248,0.631531,0.295349,0.683472,-82.326050,144.541626
80,0.977539,0.054688,0.259766,3.112793,2.990723,-0.549316,-0.183411,-0.600708,0.112366,-0.769958,-75.097046,145.046997,1.007812,-0.077637,-0.162598,0.427246,-0.305176,-0.488281,0.073944,-0.759308,-0.034546,-0.645569,-80.233154,-14.699707,0.990234,0.128906,0.031738,1.098633,0.061035,-0.122070,-0.215973,0.631592,0.295105,0.683594,-82.320557,144.530640
90,0.977539,0.054688,0.259766,3.112793,2.990723,-0.549316,-0.183411,-0.600708,0.112366,-0.769958,-75.097046,145.046997,1.007812,-0.077637,-0.162598,0.427246,-0.305176,-0.488281,0.073944,-0.759308,-0.034546,-0.645569,-80.233154,-14.699707,0.990234,0.128906,0.031738,1.098633,0.061035,-0.122070,-0.215973,0.631592,0.295105,0.683594,-82.320557,144.530640
100,0.977539,0.054688,0.259766,3.112793,2.990723,-0.549316,-0.183411,-0.600708,0.112366,-0.769958,-75.097046,145.046997,1.007812,-0.077637,-0.162598,0.427246,-0.305176,-0.488281,0.073944,-0.759308,-0.034546,-0.645569,-80.233154,-14.699707,0.990234,0.128906,0.031738,1.098633,0.061035,-0.122070,-0.215973,0.631592,0.295105,0.683594,-82.320557,144.530640
